ConversationID,TopicDescription
C_1,秦羽墨和好友谈论新认识的男生
C_2,吕子乔开秦羽墨新男友的玩笑，惹得秦羽墨不高兴
C_3,秦羽墨好心把车借给大张伟，张伟违法被罚，吕子乔嘲讽他，秦羽墨很无奈
C_4,秦羽墨冷嘲热讽大张伟平时小气，结果在领罚单方面毫不吝啬
C_5,曾小贤得知秦主任昏迷不醒，想要拉拢lisa榕帮助他做到副主任的位置上
C_6,曾小贤可以去人力资源部面试，lisa榕嘲讽曾小贤混得不好，不认识人事部
C_7,曾小贤上厕所时写了申请信，结果没有找到被lisa榕嘲笑
C_8,三人在酒吧聊曾小贤帮助唐悠悠介绍了工作一事
C_9,唐悠悠对女一号试镜没信心，胡一菲和曾小贤在一旁鼓励
C_10,胡一菲曾小贤吐槽演艺圈不靠谱，兜兜转转是个圈
C_11,曾小贤被好友讽刺不高兴，关谷神奇在一忙安慰也使曾小贤听着不舒服
C_12,张伟来找秦羽墨借钱，再次被秦羽墨跟吕子乔嘲讽
C_13,秦羽墨鼓励大张伟把女生约出来
C_14,吕子乔教大张伟如何接触莫兰，被秦羽墨跟张伟再次吐槽
C_15,关谷反应过激，对曾小贤选的衣服很生气
C_16,关谷很气愤，将责任推卸到曾小贤身上
C_17,张伟和女生约会，被女生催促交罚单
C_18,张伟约会陷入焦灼，羽墨前来出手相助，教大张伟如何化解尴尬
C_19,张伟约会对象向好友求助如何和张伟交流，陷入焦灼中
C_20,羽墨因和客人说话被经理训斥不遵守职业规范
C_21,羽墨被约去看电影，两人一拍即合纷纷抛弃好友一拍即合
C_22,曾小贤嘲讽胡一菲把很小的比赛写进简历中
C_23,唐悠悠向好友吐槽关谷并没有拿过什么荣誉
C_24,几位好友在酒吧里相互猜疑是否有人在做恶作剧
C_25,唐悠悠质问关谷，关谷迟疑惹唐悠悠生气
C_26,胡一菲吃醋曾小贤照顾诺澜，逞强称自己的脚是小伤
C_27,曾小贤被算命大师忽悠免费算命被强制推销
C_28,曾小贤想让吕子乔帮助自己，却被吕子乔反问
C_29,曾小贤担心胡一菲的脚伤，被吕子乔质问为何出现不及时
C_30,曾小贤和算命大师在酒吧相见，两人互相冷嘲热讽
C_31,算命大师向曾小贤承诺提供免费服务，令二人大吃一惊
C_32,曾小贤无奈求助算命大师，算命大师一口答应，并许下承诺
C_33,算命大师让曾小贤二人猜自己的家乡，由于口音问题让二人震惊
C_34,陈美嘉心虚找来快递小哥，快递小哥也表示一脸疑惑
