ConversationID,UtteranceID,Utterance,Speaker,StartTime,EndTime,Emotion,Sentiment,Sarcasm,Humor,Relevancy(Emo→Sen),Relevancy(Sar→Hum),Pride,Love
C_1,C_1_U_1,我错了,唐悠悠,"00:00:00,000","00:00:00,771",sadness,negative,none,none,1,1,pride,none
C_1,C_1_U_2,从今以后我要养成,唐悠悠,"00:00:00,771","00:00:03,277",sadness,negative,none,none,1,0,none,none
C_1,C_1_U_3,独自去超市的好习惯,唐悠悠,"00:00:03,277","00:00:05,590",sadness,negative,none,none,1,1,none,none
C_1,C_1_U_4,你们大家一定会很喜欢他的,秦羽墨,"00:00:05,590","00:00:07,904",joy,positive,none,none,1,0,pride,immediate
C_1,C_1_U_5,他的笑容温柔中释放着热情,秦羽墨,"00:00:07,904","00:00:09,446",joy,positive,none,none,1,-1,pride,immediate
C_1,C_1_U_6,热情中包含着优雅,秦羽墨,"00:00:09,446","00:00:11,760",joy,positive,none,none,1,-1,pride,immediate
C_1,C_1_U_7,优雅中还透露着那么一点小俏皮,秦羽墨,"00:00:12,210","00:00:13,350",joy,positive,none,none,2,0,pride,immediate
C_1,C_1_U_8,那你们看我的笑容中都包含了什么呀,曾小贤,"00:00:14,150","00:00:17,490",joy,positive,sarcastic,humor,2,2,none,none
C_1,C_1_U_9,这么说你要开始一段新的恋情了,胡一菲,"00:00:21,677","00:00:24,120",surprise,positive,none,none,2,0,none,none
C_1,C_1_U_10,那倒未必,秦羽墨,"00:00:24,120","00:00:25,247",neutral,neutral,none,none,2,0,none,none
C_1,C_1_U_11,现在只是试水阶段,秦羽墨,"00:00:25,247","00:00:26,751",neutral,neutral,none,none,2,1,none,none
C_1,C_1_U_12,我对感情可是很慎重的,秦羽墨,"00:00:26,751","00:00:28,610",fear,negative,none,none,1,-1,pride,none
C_2,C_2_U_1,你不也住在这里吗,张伟,"00:00:00,000","00:00:01,150",neutral,neutral,none,none,1,0,none,none
C_2,C_2_U_2,我不住这里,Neo,"00:00:01,350","00:00:02,100",neutral,neutral,none,none,2,0,none,none
C_2,C_2_U_3,我的客户在这里,Neo,"00:00:02,101","00:00:04,400",neutral,neutral,none,none,2,0,none,none
C_2,C_2_U_4,客户,吕子乔,"00:00:04,400","00:00:05,401",surprise,neutral,sarcastic,none,2,0,none,none
